file,segment,fault_type,predicted_fault,confidence,health_score,risk_level,maintenance_recommendation
121.mat,3,Ball,Ball,0.9999552,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,4,Ball,Ball,0.99983704,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,5,Ball,Ball,0.99974316,79.99,Medium,Inspect bearing condition and schedule maintenance.
121.mat,6,Ball,Ball,0.99979573,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,7,Ball,Ball,0.9998356,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,8,Ball,Ball,0.99984217,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,9,Ball,Ball,0.9999536,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,10,Ball,Ball,0.9999019,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,11,Ball,Ball,0.999877,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,12,Ball,Ball,0.9998996,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,13,Ball,Ball,0.999956,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,14,Ball,Ball,0.99996614,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,15,Ball,Ball,0.99994034,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,16,Ball,Ball,0.9998123,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,17,Ball,Ball,0.9998908,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,18,Ball,Ball,0.9999618,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,19,Ball,Ball,0.9999739,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,20,Ball,Ball,0.999969,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,21,Ball,Ball,0.99998826,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,22,Ball,Ball,0.9999573,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,23,Ball,Ball,0.9999565,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,24,Ball,Ball,0.9999206,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,25,Ball,Ball,0.9998567,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,26,Ball,Ball,0.99993384,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,27,Ball,Ball,0.9999783,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,28,Ball,Ball,0.9999857,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,29,Ball,Ball,0.9999511,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,30,Ball,Ball,0.99991405,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,31,Ball,Ball,0.9999186,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,32,Ball,Ball,0.9999789,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,33,Ball,Ball,0.99997663,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,34,Ball,Ball,0.999976,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,35,Ball,Ball,0.9997801,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,36,Ball,Ball,0.9997751,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,37,Ball,Ball,0.9999807,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,38,Ball,Ball,0.9999345,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,39,Ball,Ball,0.9999817,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,40,Ball,Ball,0.9999591,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,41,Ball,Ball,0.9998684,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,42,Ball,Ball,0.9998957,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,43,Ball,Ball,0.9999958,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,44,Ball,Ball,0.99999136,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,45,Ball,Ball,0.9999709,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,46,Ball,Ball,0.99996245,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,47,Ball,Ball,0.99999285,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,48,Ball,Ball,0.99998903,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,49,Ball,Ball,0.9999803,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,50,Ball,Ball,0.9999653,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,51,Ball,Ball,0.9999743,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,52,Ball,Ball,0.9999566,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,53,Ball,Ball,0.9999765,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,54,Ball,Ball,0.99998915,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,55,Ball,Ball,0.99994665,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,56,Ball,Ball,0.99998814,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,57,Ball,Ball,0.9999708,80.0,Low,Inspect bearing condition and schedule maintenance.
133.mat,0,Outer Race,Outer Race,0.9999968,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,1,Outer Race,Outer Race,0.99999845,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,2,Outer Race,Outer Race,0.9999975,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,3,Outer Race,Outer Race,0.9999948,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,4,Outer Race,Outer Race,0.9999968,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,5,Outer Race,Outer Race,0.9999968,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,6,Outer Race,Outer Race,0.99999547,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,7,Outer Race,Outer Race,0.9999933,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,8,Outer Race,Outer Race,0.9999933,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,9,Outer Race,Outer Race,0.9999967,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,10,Outer Race,Outer Race,0.99998987,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,11,Outer Race,Outer Race,0.9999909,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,12,Outer Race,Outer Race,0.9999908,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,13,Outer Race,Outer Race,0.999998,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,14,Outer Race,Outer Race,0.9999975,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,15,Outer Race,Outer Race,0.9999971,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,16,Outer Race,Outer Race,0.9999961,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,17,Outer Race,Outer Race,0.99999666,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,18,Outer Race,Outer Race,0.9999863,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,19,Outer Race,Outer Race,0.9999897,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,20,Outer Race,Outer Race,0.9999958,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,21,Outer Race,Outer Race,0.9999956,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,22,Outer Race,Outer Race,0.99999774,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,23,Outer Race,Outer Race,0.9999974,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,24,Outer Race,Outer Race,0.9999916,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,25,Outer Race,Outer Race,0.9999961,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,26,Outer Race,Outer Race,0.9999991,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,27,Outer Race,Outer Race,0.99999225,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,28,Outer Race,Outer Race,0.9999878,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,29,Outer Race,Outer Race,0.99999857,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,30,Outer Race,Outer Race,0.99999845,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,31,Outer Race,Outer Race,0.9999976,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,32,Outer Race,Outer Race,0.9999948,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,33,Outer Race,Outer Race,0.99999833,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,34,Outer Race,Outer Race,0.999992,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,35,Outer Race,Outer Race,0.99999875,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,36,Outer Race,Outer Race,0.9999989,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,37,Outer Race,Outer Race,0.99999905,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,38,Outer Race,Outer Race,0.9999949,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,39,Outer Race,Outer Race,0.99999666,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,40,Outer Race,Outer Race,0.9999994,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,41,Outer Race,Outer Race,0.9999976,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,42,Outer Race,Outer Race,0.9999989,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,43,Outer Race,Outer Race,0.9999994,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,44,Outer Race,Outer Race,0.99999934,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,45,Outer Race,Outer Race,0.9999986,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,46,Outer Race,Outer Race,0.9999986,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,47,Outer Race,Outer Race,0.99999845,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,48,Outer Race,Outer Race,0.9999989,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,49,Outer Race,Outer Race,0.9999989,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,50,Outer Race,Outer Race,0.99999964,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,51,Outer Race,Outer Race,0.99999964,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,52,Outer Race,Outer Race,0.99999964,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,53,Outer Race,Outer Race,0.9999995,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,54,Outer Race,Outer Race,0.99999845,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,55,Outer Race,Outer Race,0.9999994,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,56,Outer Race,Outer Race,0.99999934,30.0,High,Inspect outer race bearing condition and schedule maintenance.
133.mat,57,Outer Race,Outer Race,0.9999989,30.0,High,Inspect outer race bearing condition and schedule maintenance.
